fuente,source_record_id,fecha_hora,fecha,hora,aeropuerto_icao,aeropuerto_nombre,ciudad,provincia,fase_vuelo,descripcion,tipo_incidente,categoria_incidente,aeronave_modelo,aeronave_matricula,tipo_aeronave,condicion_meteorologica,condicion_luz,visibilidad_millas,viento_kt,latitud,longitud,lesionados,fatalidades,nivel_riesgo
JST,JST-RAW-37023615-23,2023-04-03T18:20:00,2023-04-03,1820,,,Ezpeleta,Buenos Aires,En vuelo,"Accidente | LOC-I (Loss of control - inflight) | Non-Commercial Operations / Test Flight / Post Maintenance Functional Check Flight | Ezpeleta, Buenos Aires",LOC-I (Loss of control - inflight),Operacion,,LV-X695,,,,,,-34.74361,-58.20666,0,0,Critico
JST,JST-RAW-39839692-23,2023-04-10T18:10:00,2023-04-10,1810,,,2882 EL Guri,Cordoba,Aterrizaje,"Accidente | ARC (Abnormal runway contact) | Non-Commercial Operations / Bussiness / Bussiness | 2882 EL Guri, Cordoba",ARC (Abnormal runway contact),Pista,,LV-KGT,,,,,,-29.9225,-63.55833,0,0,Alto
JST,JST-RAW-42044921-23,2023-04-15T20:00:00,2023-04-15,2000,,,Gualeguay,Entre Rios,Maniobra a baja altura,"Accidente | LALT (Low altitude operations) | Specialised Operations / Aerial Work / Agricultural | Gualeguay, Entre Rios",LALT (Low altitude operations),Operacion,,LV-OHT,,,,,,-33.18416,-59.44,0,0,Critico
JST,JST-RAW-45501611-23,2023-04-21T13:10:00,2023-04-21,1310,,,Gral. M. M. de Guemes (SASA),Salta,En vuelo,"Accidente | SCF-NP (System/component failure or malfunction (No Powerplant) | Commercial Air Transport / Non-Scheduled / Airline (domestic) | Gral. M. M. de Guemes (SASA), Salta",SCF-NP (System/component failure or malfunction (No Powerplant),Tecnico,,LV-WPM,,,,,,-24.85972,-65.48861,0,0,Alto
JST,JST-RAW-01477104-25,2023-04-28T14:25:00,2023-04-28,1425,,,Metán,Salta,En vuelo,"Accidente | LOC-I (Loss of control - inflight) | Non-Commercial Operations / Flight Training/Instructional / Other | Metán, Salta",LOC-I (Loss of control - inflight),Operacion,,LV-X676,,,,,,-25.52166,-64.9725,0,0,Critico
JST,JST-RAW-48952747-23,2023-04-29T21:30:00,2023-04-29,2130,,,La Cumbre,Cordoba,Ascenso inicial,"Incidente | SCF-PP (Powerplant failure or malfunction) | Non-Commercial Operations / Pleasure / Local | La Cumbre, Cordoba",SCF-PP (Powerplant failure or malfunction),Tecnico,,LV-X647,,,,,,-30.99805,-64.53583,0,0,Alto
JST,JST-RAW-50323535-23,2023-05-03T16:00:00,2023-05-03,1600,,,General Rodriguez,Buenos Aires,Ascenso inicial,"Incidente | SCF-PP (Powerplant failure or malfunction) | Non-Commercial Operations / Pleasure / Otros | General Rodriguez, Buenos Aires",SCF-PP (Powerplant failure or malfunction),Tecnico,,LV-CMN,,,,,,-34.74111,-59.00388,0,0,Alto
JST,JST-RAW-98933552-23,2023-05-04T19:05:00,2023-05-04,1905,,,Aeródromo Privado Chacras del Faro,Chubut,Aterrizaje,"Accidente | RE (Runway Excursion) | Non-Commercial Operations / Flight Training/Instructional / Other | Aeródromo Privado Chacras del Faro, Chubut",RE (Runway Excursion),Pista,,LV-LDR,,,,,,-45.77833,-67.37361,0,0,Alto
JST,JST-RAW-51598653-23,2023-05-06T14:00:00,2023-05-06,1400,,,San José,Cordoba,Aterrizaje,"Accidente | SCF-NP (System/component failure or malfunction (No Powerplant), RE (Runway Excursion) | Specialised Operations / Aerial Work / Agricultural | San José, Cordoba","SCF-NP (System/component failure or malfunction (No Powerplant), RE (Runway Excursion)",Pista,,LV-MNB,,,,,,-31.95222,-65.38138,0,0,Alto
JST,JST-RAW-51597322-23,2023-05-06T18:00:00,2023-05-06,1800,,,Allen,Rio Negro,Maniobra a baja altura,"Accidente | LALT (Low altitude operations) | Non-Commercial Operations / Demostration / Demostration | Allen, Rio Negro",LALT (Low altitude operations),Operacion,,LV-X722,,,,,,-38.9575,-67.80611,0,0,Alto
