event_code,mapped_in_catalog,unknown_in_catalog,source_record_id,categoria_incidente,fase_vuelo,nivel_riesgo,mapping_rule_source
SCF-NP,True,False,JST-RAW-18060055-21,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
LALT,True,False,JST-RAW-19196545-21,Operacion,Maniobra a baja altura,Critico,tabla_jst_event_code_mapping
LOC-I,True,False,JST-RAW-19196545-21,Operacion,Maniobra a baja altura,Critico,tabla_jst_event_code_mapping
BIRD,True,False,JST-RAW-20256169-21,Fauna,Ascenso inicial,Alto,tabla_jst_event_code_mapping
FUEL,True,False,JST-RAW-20098649-21,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
LALT,True,False,JST-RAW-20096630-21,Operacion,Aproximacion,Critico,tabla_jst_event_code_mapping
LOC-I,True,False,JST-RAW-20096630-21,Operacion,Aproximacion,Critico,tabla_jst_event_code_mapping
WSTRW,True,False,JST-RAW-20096630-21,Operacion,Aproximacion,Critico,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-20087088-21,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-20099792-21,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
RE,True,False,JST-RAW-22564759-21,Pista,Ascenso inicial,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-22564759-21,Pista,Ascenso inicial,Alto,tabla_jst_event_code_mapping
RE,True,False,JST-RAW-26301118-21,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-26301118-21,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
LALT,True,False,JST-RAW-26302678-21,Operacion,Maniobra a baja altura,Critico,tabla_jst_event_code_mapping
LOC-I,True,False,JST-RAW-26302678-21,Operacion,Maniobra a baja altura,Critico,tabla_jst_event_code_mapping
UIMC,True,False,JST-RAW-28547220-21,Operacion,En vuelo,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-31530947-21,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
F-POST,True,False,JST-RAW-32447215-21,Seguridad operacional,En tierra,Critico,tabla_jst_event_code_mapping
LOC-I,True,False,JST-RAW-32447215-21,Seguridad operacional,En tierra,Critico,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-39571139-21,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
BIRD,True,False,JST-RAW-39552999-21,Fauna,Aterrizaje,Alto,tabla_jst_event_code_mapping
ADRM,True,False,JST-RAW-39553582-21,Pista,Aproximacion,Medio,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-41953974-21,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
ADRM,True,False,JST-RAW-44076210-21,Pista,Aproximacion,Alto,tabla_jst_event_code_mapping
GCOL,True,False,JST-RAW-44076210-21,Pista,Aproximacion,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-48379302-21,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
RE,True,False,JST-RAW-67220206-21,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
OTHR,True,False,JST-RAW-55482492-21,Operacion,En vuelo,Medio,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-57388959-21,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
LOC-G,True,False,JST-RAW-59349420-21,Operacion,Rodaje,Alto,tabla_jst_event_code_mapping
ADRM,True,False,JST-RAW-59719000-21,Pista,Aproximacion,Medio,tabla_jst_event_code_mapping
RE,True,False,JST-RAW-59718268-21,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-60742424-21,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
F-NI,True,False,JST-RAW-62293219-21,Seguridad operacional,En vuelo,Alto,tabla_jst_event_code_mapping
GCOL,True,False,JST-RAW-64093487-21,Operacion,Rodaje,Alto,tabla_jst_event_code_mapping
LOC-I,True,False,JST-RAW-64534781-21,Operacion,En vuelo,Critico,tabla_jst_event_code_mapping
LOC-G,True,False,JST-RAW-64536517-21,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
RE,True,False,JST-RAW-64536517-21,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-72510988-21,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-66978998-21,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-69379768-21,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-70293688-21,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-80437357-21,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
GCOL,True,False,JST-RAW-74901395-21,Operacion,Rodaje,Alto,tabla_jst_event_code_mapping
CFIT,True,False,JST-RAW-805339326-21,Operacion,En vuelo,Critico,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-80441243-21,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
RAMP,True,False,JST-RAW-86467423-21,Seguridad operacional,En tierra,Medio,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-88708570-21,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
RE,True,False,JST-RAW-94210642-21,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
CFIT,True,False,JST-RAW-97298782-21,Operacion,En vuelo,Critico,tabla_jst_event_code_mapping
FUEL,True,False,JST-RAW-97299571-21,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
FUEL,True,False,JST-RAW-99216983-21,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
