event_code,mapped_in_catalog,unknown_in_catalog,source_record_id,categoria_incidente,fase_vuelo,nivel_riesgo,mapping_rule_source
ARC,True,False,JST-RAW-135571047-23,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
F-NI,True,False,JST-RAW-145768499-23,Seguridad operacional,En vuelo,Alto,tabla_jst_event_code_mapping
LALT,True,False,JST-RAW-140796134-23,Operacion,Maniobra a baja altura,Alto,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-141422183-23,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-147824849-23,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
F-POST,True,False,JST-RAW-149632535-23,Seguridad operacional,En tierra,Critico,tabla_jst_event_code_mapping
LOC-I,True,False,JST-RAW-149632535-23,Seguridad operacional,En tierra,Critico,tabla_jst_event_code_mapping
RAMP,True,False,JST-RAW-149872133-23,Seguridad operacional,En tierra,Medio,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-152024017-23,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
BIRD,True,False,JST-RAW-152814990-23,Fauna,Ascenso inicial,Alto,tabla_jst_event_code_mapping
RE,True,False,JST-RAW-153681384-23,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-153827561-23,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-00404649-24,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
BIRD,True,False,JST-RAW-02351754-24,Fauna,Ascenso inicial,Alto,tabla_jst_event_code_mapping
WILD,True,False,JST-RAW-02351754-24,Fauna,Ascenso inicial,Alto,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-2048401-24,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-3355492-24,Pista,Aterrizaje,Critico,tabla_jst_event_code_mapping
LOC-I,True,False,JST-RAW-3355492-24,Pista,Aterrizaje,Critico,tabla_jst_event_code_mapping
